Apple	Quả táo
Repentance	Sự ăn năn
Salvation	Sự cứu rỗi
Redemption	Sự chuộc tội
Devotion	Sự tận tâm
Dharma	Luân lý
Karma	Quả báo
Hymn	Bài thánh ca
Ritual	Nghi thức
Ceremony	Nghi lễ
Temple	Đền thờ
Mosque	Nhà thờ Hồi giáo
Church	Nhà thờ Kitô giáo
Synagogue	Hội đường Do thái
Guru	Người hướng dẫn tâm linh
Prophet	Tiên tri
Messianic	Nhân vật cứu thế
Clergy	Người tu sĩ, linh mục
Deity	Thần thánh
Angel	Thiên thần
Demon	Quỷ dữ
Sacrifice	Sự hy sinh
Fasting	Chay ăn
Pilgrimage	Hành hương
Holy book	Kinh thánh
Covenant	Hiệp ước
Virtue	Đức hạnh
Sinful	Tội lỗi
Atonement	Sự chuộc lỗi
Baptism	Sự rửa tội
Eucharist	Thánh Thể
Revelation	Sự mở cửa
Resurrection	Sự sống lại
Worshipper	Người sùng bái
Divinity	Thần thánh
Fantasy	Viễn tưởng
Mythology	Thần thoại
Magic	Phép thuật
Wizard	Pháp sư
Witch	Phù thủy
Elf	Thần tiên
Dwarf	Người lùn
Orc	Ork
Goblin	Yêu tinh
Fairy	Tiên
Sorcerer	Thuật sĩ
Enchant	Thôi miên
Spell	Bùa ngải
Sword	Kiếm
Helmet	Mũ bảo hiểm
Armor	Áo giáp
Quest	Hành trình
Expedition	Đội thám hiểm
Alien	Người ngoài hành tinh
Spaceship	Tàu vũ trụ
Astronaut	Phi hành gia
Extraterrestrial	Ngoài hành tinh
UFO	Vật thể bay không xác định
Time travel	Du hành thời gian
Parallel universe	Vũ trụ song song
Superpower	Siêu năng lực
Teleportation	Di chuyển tức thì
Invisibility	Tàng hình
Mind control	Kiểm soát tâm trí
Telekinesis	Năng lực vận động tư duy
Shape-shifting	Biến hình
Immortality	Bất tử
Eternal youth	Tuổi thanh xuân vĩnh cửu
Goddess	Nữ thần
Creation	Sự sáng tạo
Destruction	Sự phá hủy
Fate	Số mệnh
Destiny	Định mệnh
Prophecy	Tiên tri
Hero	Người hùng
Villain	Kẻ ác
Monarch	Vua chúa
Kingdom	Vương quốc
Realm	Thế giới
Castle	Lâu đài
Fortress	Pháo đài
Magic potion	Thần dược
Enchanted forest	Khu rừng ma thuật
Mystical creature	Sinh vật thần bí
Mermaid	Nàng tiên cá
Centaur	Người kỳ mã
Minotaur	Quái vật Minotaur
Griffin	Kỳ lân
Chimera	Thần hổ
Hydra	Rồng nhiều đầu
Cyclops	Người một mắt
Pegasus	Ngựa Pegasus
Nymph	Nữ thần suối nước
Siren	Tiên cá hút hồn
Fairy tale	Truyện cổ tích
Wonderland	Thế giới kỳ diệu
Labyrinth	Mê cung
Alchemy	Giả kim
Potion	Dược thảo
Sorcery	Phép thuật
Incantation	Lời nguyền
Conjuring	Gọi hồn
Mythical sword	Kiếm thần thoại
Helm of invisibility	Mũ tàng hình
Wand	Võng
Amulet	Bùa trợ thần
Oracle	Tiên tri
Divine intervention	Can thiệp của thần linh
Titan	Thần thú
Norse mythology	Thần thoại Bắc Âu
Greek mythology	Thần thoại Hy Lạp
Roman mythology	Thần thoại La Mã
Egyptian mythology	Thần thoại Ai Cập
Chinese mythology	Thần thoại Trung Quốc
Nordic gods	Thần thú Bắc Âu
Olympian gods	Thần thế vị Olympus
Underworld	Thế giới ngầm
Elysium	Thiên đường
Tartarus	Địa ngục sâu thẳm
Valhalla	Thiên đường của các chiến binh viking
Mount Olympus	Núi Olympos
The Fates	Ba Moira
The Muses	Các nữ thần người tạo cảm hứng
Traffic	Giao thông
Road	Đường
Street	Phố
Highway	Đường cao tốc
Lane	Làn đường
Sidewalk	Vỉa hè
Intersection	Ngã tư
Roundabout	Vòng xuyến
Crosswalk	Vạch bộ ngang
Traffic light	Đèn giao thông
Stop sign	Biển stop
Yield sign	Biển nhường đường
Speed limit	Giới hạn tốc độ
Pedestrian	Người đi bộ
Cyclist	Người đi xe đạp
Driver	Người lái xe
Passenger	Hành khách
Public transportation	Phương tiện công cộng
Subway	Tàu điện ngầm
Tram	Xe điện
Taxi	Xe taxi
Motorcycle	Xe máy
Bicycle	Xe đạp
Scooter	Xe tay ga
Truck	Xe tải
Van	Xe bán tải
Ambulance	Xe cứu thương
Fire truck	Xe cứu hỏa
Police car	Xe cảnh sát
Traffic jam	Kẹt xe
Congestion	Tắc nghẽn
Detour	Đường vòng
Diverge	Rẽ nhánh
Merge	Hợp nhất
Overtake	Vượt
Turn	Rẽ
Curve	Cung đường
Speed bump	Gờ cao su
Pothole	Ổ gà
Bridge	Cầu
Tunnel	Đường hầm
Overpass	Cầu vượt
Underpass	Đường hầm chui
Railway	Đường sắt
Platform	Sân ga
Ticket	Vé
Schedule	Lịch trình
Fare	Tiền vé
Destination	Điểm đến
Route	Tuyến đường
Sign	Biển báo
Arrow	Mũi tên
Warning	Cảnh báo
Turn signal	Đèn xi-nhan
Pedestrian zone	Khu vực dành cho người đi bộ
No entry	Cấm vào
One way	Hướng một chiều
Roundabout sign	Biển hướng đi vòng xuyến
Speed limit sign	Biển giới hạn tốc độ
Intersection sign	Biển ngã tư
Parking lot	Bãi đậu xe
Parking garage	Nhà gửi xe
Ticket machine	Máy bán vé
Turnstile	Cổng xoay
Train station	Nhà ga
Bus station	Bến xe buýt
Runway	Đường băng
Terminal	Nhà ga hành khách
Baggage claim	Khu vực nhận hành lý
Security check	Kiểm tra an ninh
Boarding pass	Thẻ lên máy bay
Arrival	Khu vực đến
Departure	Khu vực đi
Customs	Hải quan
Immigration	Di trú
Passport	Hộ chiếu
Visa	Thị thực
Luggage	Hành lý
Car rental	Cho thuê xe
Traffic control	Kiểm soát giao thông
Accident	Tai nạn
Emergency	Tình huống khẩn cấp
Tow truck	Xe kéo
Roadside assistance	Hỗ trợ trên đường
Traffic ticket	Biên lai vi phạm luật giao thông
Driver's license	Bằng lái xe
Seat belt	Dây đeo an toàn
Airbag	Túi khí
Traffic rules	Quy tắc giao thông
Driving test	Bài kiểm tra lái xe
Traffic school	Trường học lái xe
Speeding	Chạy quá tốc độ
DUI (Driving Under the Influence)	Lái xe khi say rượu hoặc dùng chất kích thích
Road rage	Tức giận khi lái xe
Public transit	Giao thông công cộng	
